Gene Symbol,log2FoldChange,Pvalue,Padjusted,innate_immune,species,condition,adaptive,gene_category
PTX3,2.771812073,0.001557589001,0.020028603,TRUE,Bos taurus,MAP Infection,FALSE,immune
NOTCH1,2.811803472,3.99E-06,6.56E-05,TRUE,Bos indicus,milk production,FALSE,immune
ACKR3,-3.347911054,2.69E-07,6.63E-06,FALSE,Bos indicus,milk production,TRUE,immune
TRIM67,-24.32799972,7.08E-16,6.85E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
BDKRB2,-25.46892925,2.97E-17,6.13E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
F11,-24.05137743,1.50E-15,1.34E-14,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
C4BPB,4.387614654,2.12E-06,0.0002305765475,TRUE,Bos taurus,MAP Infection,FALSE,immune
LOC112443721,-26.59692042,1.12E-18,5.65E-17,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
S100A9,3.757779795,1.21E-09,6.33E-08,TRUE,Bos indicus,milk production,FALSE,immune
CD1B5,2.803957384,2.13E-05,0.0002669611308,FALSE,Bos indicus,milk production,TRUE,immune
LOC112445143,-23.32330034,1.03E-14,7.69E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
EDIL3,7.170614534,0.0152988175,0.05400176399,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TNF,-2.037170905,0.4820802892,0.8304592295,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCR5,2.409343542,0.002203018239,0.1199072851,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IDO1,2.203888223,1.52E-06,0.001238308461,TRUE,Bos taurus,MAP Infection,FALSE,immune
SFTPD,-2.777934586,0.07589356578,0.1750744469,TRUE,Bos indicus,milk production,FALSE,immune
TANK,3.829803553,2.78E-06,4.74E-05,TRUE,Bos indicus,milk production,FALSE,immune
IRF1,3.061304,1.12E-06,0.000155606,TRUE,Bos taurus,MAP Infection,FALSE,immune
SARM1,-2.485965169,0.08611269444,0.6319216967,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
BST1,5.56984015,4.45E-12,5.70E-10,FALSE,Bos indicus,milk production,TRUE,immune
LOC112444532,4.684895558,8.53E-10,4.71E-08,FALSE,Bos indicus,milk production,TRUE,immune
TLR2,3.856520195,1.54E-12,2.29E-10,TRUE,Bos indicus,milk production,FALSE,immune
LOC112441460,5.965016087,6.81E-12,2.34E-08,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
IL-15L,-24.25361747,8.67E-16,8.12E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL12RB1,-3.158278917,0.2695989047,0.565038185,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
UNC5CL,-25.27877733,5.08E-17,9.18E-16,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CIAPIN1,-2.515991295,0.3852713566,0.7265065393,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
ICAM1,5.212287831,7.57E-14,1.83E-11,TRUE,Bos indicus,milk production,FALSE,immune
BIRC3,2.771527,4.08E-08,8.16E-06,TRUE,Bos taurus,MAP Infection,FALSE,immune
BCL2A1,3.533501116,3.41E-09,1.49E-07,TRUE,Bos indicus,milk production,FALSE,immune
LOC112441499,-3.53689025,6.43E-06,0.001710481246,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
LOC112446746,-2.170582245,0.01875475835,0.06436746005,FALSE,Bos indicus,milk production,TRUE,immune
ZFPM1,-2.273967127,2.31E-05,0.0002864982629,TRUE,Bos indicus,milk production,FALSE,immune
DDX3X,2.099893659,0.0006454167963,0.004612358342,TRUE,Bos indicus,milk production,FALSE,immune
CXCR3,-11.29972369,0.0001781692787,0.001035717828,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CXCL5,4.456860541,1.66E-10,1.17E-08,FALSE,Bos indicus,milk production,TRUE,immune
NFATC4,-8.434647454,0.003607865065,0.01587777195,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCDC13,-1.533717939,0.08570301087,0.2341799461,FALSE,Bos taurus,milk production,FALSE,non-immune
PRRX2,-4.709794562,0.01659387993,0.06360738294,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112447581,-25.26085468,2.15E-15,1.63E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LEAP2,-5.842715264,0.09357820796,0.2004579777,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRPM5,-3.841494926,0.06665716327,0.1457751795,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC534520,-1.01769746,0.07102097404,0.2640771661,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
GCC1,-3.073067822,0.04431051194,0.1386833918,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
LOC104972958,-5.137562017,0.07039410519,0.1858734036,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SLC6A1,-5.417075629,0.05326772041,0.1547667955,FALSE,Bos taurus,milk production,FALSE,non-immune
MX2,-1.802165168,0.06669431901,0.1508263988,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132344209,-2.514983328,0.08982170033,0.2227560796,FALSE,Bos taurus,milk production,FALSE,non-immune
ANGPT2,-3.674491596,0.03435561428,0.09035567671,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAC-ACA_136,-21.1979607,0.005102625014,0.01479136921,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,Not Present,non-immune
LOC112444953,-3.315058337,0.1046734278,0.2692099199,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
CNKSR2,-5.158815881,0.05770916336,0.1385576987,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132342141,-4.840752118,0.07476991578,0.1744346733,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112442821,-17.32778991,0.006435346579,0.02124507806,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
MEF2A,-1.435333442,0.1853123339,0.3727794215,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101904078,-1.231337445,0.08153825023,0.207060038,FALSE,Bos taurus,milk production,FALSE,non-immune
DUOXA2,-0.8907217915,0.06989524685,0.1603819524,FALSE,Bos taurus,milk production,FALSE,non-immune
IFNL3,-2.37686864,0.09939939141,0.2229056865,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132346318,-25.27637771,3.39E-15,2.45E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
OR4B1F,-24.45881092,1.50E-14,1.01E-13,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
TEX54,-3.106104839,0.06347855462,0.1653691614,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
YPEL4,-4.002455575,0.08866319006,0.1957577356,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRNAG-CCC_123,-25.84690994,6.80E-16,5.58E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,Not Present,non-immune
SEBOX,-2.831161483,0.09505101423,0.2328894633,FALSE,Bos taurus,milk production,FALSE,non-immune
MIR2332,-4.806816405,0.03993497462,0.1223111295,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132343055,-10.53714698,0.03099403788,0.08133199256,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
BCL2L14,-0.8218789514,0.1230913584,0.2487116967,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112441519,-1.487898672,0.06948569066,0.1900665905,FALSE,Bos taurus,milk production,FALSE,non-immune
FGF23,-9.614405598,0.03002325646,0.0765517023,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132345685,-3.098022555,0.09709073425,0.2512824657,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
PGLYRP2,-0.6661460241,0.1392726764,0.2632726714,FALSE,Bos taurus,milk production,FALSE,non-immune
RD3,-24.03396074,1.10E-14,7.73E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LOC112446041,-3.591474665,0.02093281849,0.0602771806,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAG-UCC_16,-24.85837253,7.92E-15,5.49E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,Not Present,non-immune
H2BC12,-1.136113553,0.1122331903,0.370035399,FALSE,Bos taurus:Bos indicus,MAP Infection,FALSE,non-immune
LOC112448847,-24.47042732,2.86E-15,2.17E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LPO,-2.705675748,0.09539448819,0.2268006921,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101907606,-26.51861637,8.33E-17,9.99E-16,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
KATNAL2,-3.597715428,0.0893087818,0.2968580414,FALSE,Bos taurus:Bos indicus,MAP Infection,FALSE,non-immune
LOC132343637,-2.204892574,0.1014085974,0.2067461699,FALSE,Bos taurus,milk production,FALSE,non-immune
STPG3,-2.470772817,0.06226536307,0.1550552013,FALSE,Bos taurus,milk production,FALSE,non-immune
ACSM4,-4.935626928,0.05732657844,0.1448988422,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132345074,-2.947601514,0.04800547412,0.153750698,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
CYP4B1,0.01280424991,0.07256008445,0.1598179043,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112443661,-2.22467182,0.05645838606,0.2141443478,FALSE,Bos taurus:Bos indicus,MAP Infection,FALSE,non-immune
LOC100847415,-24.31243856,5.39E-14,3.52E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
NMUR2,-2.27336424,0.1530346632,0.3036185142,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
C19H17orf100,-1.921058625,0.1088492085,0.2529145946,FALSE,Bos taurus,milk production,FALSE,non-immune
CELF3,-2.667087132,0.08757732972,0.2171383406,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132346955,-10.19923936,0.03923710828,0.09719854754,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRNAS-GGA_15,-25.14327637,1.21E-15,9.94E-15,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,Not Present,non-immune
MIR7858,-24.88605871,8.05E-15,5.58E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
EXOC3L2,-3.249102154,0.1391809923,0.3055980317,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC107131363,1.975714406,0.05318424051,0.140271744,FALSE,Bos indicus,milk production,FALSE,non-immune
TMEM163,-2.227457193,0.09634219009,0.22644892,FALSE,Bos taurus,milk production,FALSE,non-immune
UPK3A,-4.662522229,0.1189933088,0.2554982751,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
MIR12043,-5.435763236,0.01219154594,0.03595455909,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112442208,-2.963840784,0.05754417265,0.1501928964,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAE-UUC_28,-25.23170964,8.34E-15,5.76E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,Not Present,non-immune
LOC112447038,-5.08636813,0.04447375637,0.1429322475,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
ZSCAN32,-24.37732138,7.06E-15,5.13E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
SIX4,-2.235068618,0.04842106158,0.1121729489,FALSE,Bos taurus,milk production,FALSE,non-immune
GPR174,-1.995155306,0.03909764303,0.1151901258,FALSE,Bos taurus,milk production,FALSE,non-immune
POLR3K,-2.571820581,0.2338222397,0.4613876671,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SORBS3,-1.553102987,0.02936151701,0.08140548962,FALSE,Bos taurus,milk production,FALSE,non-immune
AQP9,-24.22792514,2.89E-15,2.27E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LOC132342640,-2.157045671,0.05814498946,0.1765717553,FALSE,Bos taurus,milk production,FALSE,non-immune
RRAS2,-4.95793135,0.1048542307,0.2406896911,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
CPB2,-2.17366751,0.1409425127,0.2698808398,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101906235,-6.39488786,0.06278347122,0.1643255091,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC104969889,-3.147008325,0.02747510166,0.07412730059,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112447920,-25.43844832,9.59E-15,6.45E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
HOXA9,-24.40185309,1.02E-14,7.27E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
KIF19,-3.180894288,0.1136704724,0.257834886,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC618561,0.3042017594,0.05656320988,0.1576359899,FALSE,Bos indicus,MAP Infection,FALSE,non-immune
LOC100296195,-5.19971353,0.07883704787,0.1881177812,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112444175,-6.981863802,0.03155291799,0.1287459035,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
PACRG,-4.0608596,0.1029080594,0.2139739488,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC101902407,-7.069632324,0.08135915314,0.1718467331,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
NSMAF,-4.878678017,0.1331436687,0.2707202192,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
C29H11orf86,-2.689055688,0.09022395522,0.2540032605,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAC-GCA_144,-4.999346709,0.03358165446,0.09375335637,FALSE,Bos taurus,milk production,Not Present,non-immune
NAE1,-3.659326454,0.1355828955,0.3125661656,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
CHST7,-0.4556725217,0.03842837595,0.08873330506,FALSE,Bos indicus,milk production,FALSE,non-immune
LOC132346636,-8.477563737,0.0599208889,0.1453648126,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112445677,-1.885708558,0.04454520502,0.1759277658,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
LOC132344052,-24.38757135,2.08E-15,1.72E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
DLX4,-4.457427809,0.08801696376,0.2092004097,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC511683,-2.074476703,0.06668372797,0.1699350273,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
ELOVL3,-6.633585715,0.1004617705,0.2063815506,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
MIR2285AK,-2.220147535,0.04111732119,0.1130944647,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112449448,-3.129959254,0.05916058431,0.1853274041,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LTB4R2,-3.592854126,0.07027544219,0.2247838896,FALSE,Bos taurus,milk production,FALSE,non-immune
RAB3C,-4.040677654,0.1612300593,0.3314865884,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
ASCC1,-4.846925491,0.05974158928,0.1371742995,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
MIR2896,-1.633727356,0.06288033872,0.1808264287,FALSE,Bos taurus,milk production,FALSE,non-immune
BRK1,-1.017851016,0.09980267096,0.2087104047,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
TNFSF15,-0.8568412585,0.03005811486,0.1353857446,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
LOC132343357,-3.824828087,0.05914560606,0.1819513705,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
ADORA2B,-0.5429165298,0.03624208877,0.09240989102,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
LOC132345363,-5.816060238,0.02964388918,0.0823928026,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
FRRS1L,-5.69234774,0.06065345813,0.1396086324,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRNAM-CAU_13,-2.098140436,0.05545547792,0.1557370266,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC107132464,-2.090421154,0.05521905284,0.1204139092,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132346148,-2.318804878,0.06243855801,0.1308315878,FALSE,Bos taurus,milk production,FALSE,non-immune
ITGA9,-3.039035414,0.1197368903,0.2580532831,FALSE,Bos taurus,milk production,FALSE,non-immune
MPP3,-4.129117164,0.08651245402,0.1701792207,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132344779,-3.543841538,0.1062492464,0.2594645269,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAW-CCA_133,-24.94410094,5.72E-15,3.99E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,Not Present,non-immune
RNASE10,-0.9604611855,0.08769300071,0.2393446384,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112446682,-0.8950068722,0.1086892831,0.2718600565,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112443149,-2.532091604,0.05364009397,0.157929664,FALSE,Bos taurus,milk production,FALSE,non-immune
SYT3,-2.712841731,0.07736895453,0.2175278364,FALSE,Bos taurus,milk production,FALSE,non-immune
FAM169A,-4.063057278,0.06810716822,0.1549013252,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
VSX2,-8.652022313,0.009607970301,0.03911370275,FALSE,Bos taurus,milk production,FALSE,non-immune
ZMYND15,-3.73324419,0.1523900619,0.3267362445,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC104975460,-3.610665405,0.08967914395,0.1831117963,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112441781,-2.833857046,0.08506955484,0.258580843,FALSE,Bos taurus:Bos indicus,MAP Infection,FALSE,non-immune
LOC784866,-0.3393228141,0.113859081,0.2725422279,FALSE,Bos taurus,MAP Infection,FALSE,non-immune
TRNAG-CCC_70,-25.20647394,6.80E-15,4.77E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,Not Present,non-immune
CTNND2,-4.812478906,0.08821158906,0.1739117013,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
CD163L1,-0.3310640132,0.05434341673,0.1416204425,FALSE,Bos taurus,milk production,FALSE,non-immune
MAPK11,-5.44086195,0.09167184917,0.2076556466,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112448518,-14.7398004,0.03042378226,0.07121545244,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SH2D1A,-1.074559456,0.09055704661,0.1868251522,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112447334,-1.980487125,0.1066564266,0.2512649634,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101908225,-2.97574991,0.06129974271,0.1414102685,FALSE,Bos taurus,milk production,FALSE,non-immune
TBX6,-2.773180877,0.0943599801,0.2115460058,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132342412,-1.728146824,0.05718446882,0.167290648,FALSE,Bos taurus,milk production,FALSE,non-immune
PLEKHA7,-4.42707816,0.05838615952,0.1435926248,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SSNA1,-1.531000309,0.1082574477,0.2387408389,FALSE,Bos taurus,milk production,FALSE,non-immune
GKN1,-2.608178281,0.06308772584,0.1463164824,FALSE,Bos taurus,milk production,FALSE,non-immune
SLC2A4,-1.427454771,0.05146506603,0.1556006255,FALSE,Bos taurus,milk production,FALSE,non-immune
CADPS2,-3.672805283,0.1116945651,0.2468219555,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112449143,-5.313299247,0.05258948254,0.1901268024,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
OC90,-0.9159866995,0.08814966616,0.2081287808,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC104972401,-8.210856483,0.0801202495,0.1914753834,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRNAC-GCA_94,-25.27520296,1.14E-15,9.33E-15,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
KCTD20,-2.3760295,0.1352346285,0.2874820962,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112442459,-7.059702785,0.04990006144,0.118809999,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132345241,-5.820142098,0.07673282012,0.1647857817,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101904722,-6.419819285,0.06060159695,0.1513955069,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SCG5,-24.82497581,9.06E-15,6.15E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LOC132345998,-6.597331998,0.04008139059,0.0918142013,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
ABCC8,-5.318587207,0.1409446601,0.2898613404,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112444641,-24.89981459,2.25E-15,1.79E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LOC132342951,-0.967157643,0.05094892344,0.1328617415,FALSE,Bos indicus,milk production,FALSE,non-immune
NECTIN4,-3.605562763,0.110954539,0.2594199985,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
THRB,-1.486555359,0.06638628794,0.1463100776,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132343891,-24.58111188,9.91E-15,6.89E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
MIR193B,-25.50374295,2.66E-15,1.97E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
PCK1,-4.376833589,0.06949645304,0.1743346741,FALSE,Bos taurus,milk production,FALSE,non-immune
GRINA,-4.130841439,0.04245838975,0.1198000492,FALSE,Bos taurus,milk production,FALSE,non-immune
LITAF,-1.698309794,0.0774404357,0.1860658771,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112445172,-5.745823582,0.02792427263,0.08339322182,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
MIR10165,-24.76469215,1.99E-14,1.36E-13,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LAPTM4B,-0.2277945337,0.09566873818,0.2007497304,FALSE,Bos taurus,milk production,FALSE,non-immune
HES3,-25.14514758,2.25E-15,1.74E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
RARG,-3.368239938,0.04193555021,0.104084757,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC112443361,-4.083843762,0.03786939313,0.1555085071,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
TRNAW-CCA_90,-25.08190014,1.23E-14,8.29E-14,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,Not Present,non-immune
FBXO48,-0.7692276265,0.1022034823,0.2296561506,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC100336431,-1.813695578,0.1034478762,0.2396200436,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC100848559,-2.142751364,0.05320900845,0.1482496394,FALSE,Bos taurus,milk production,FALSE,non-immune
ATPAF2,-0.7189530728,0.179472204,0.3550009856,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC521656,-2.007911154,0.05677209442,0.1275083167,FALSE,Bos taurus,milk production,FALSE,non-immune
TYSND1,-2.189276767,0.1345220361,0.2688786475,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
PRKG2,-1.095015353,0.1260087189,0.2534525753,FALSE,Bos taurus,milk production,FALSE,non-immune
EDRF1,-2.231902826,0.1932030473,0.4321260249,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
SLFN11,-5.216666509,0.0614722375,0.1625925049,FALSE,Bos taurus,milk production,FALSE,non-immune
TRNAR-CCU_6,-24.8276026,2.69E-15,2.02E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,Not Present,non-immune
TPC3,-5.07307697,0.1313379112,0.2690599141,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132345829,-11.86987036,0.04352442349,0.1011571464,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112441990,-25.70647219,1.39E-16,1.72E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
PVRIG,-4.152379436,0.0493056623,0.124080737,FALSE,Bos taurus,milk production,FALSE,non-immune
INHA,-3.24479837,0.09626559632,0.2469763405,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC788414,-5.201340964,0.07927269033,0.1692008949,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
ZNF382,-2.557247946,0.1894727974,0.3871136912,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
DEPDC5,-3.707100296,0.1042134704,0.2480275813,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC101903616,-2.728125273,0.0662439888,0.212593332,FALSE,Bos taurus,milk production,FALSE,non-immune
EPM2A,-1.453046753,0.1147941659,0.2459299193,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
FOLR3,-6.836247733,0.08414439116,0.1886302772,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112444463,-4.718267352,0.04203657867,0.1219701144,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC112446465,-2.726182917,0.07358469157,0.1612250722,FALSE,Bos taurus,milk production,FALSE,non-immune
CIT,-7.028627662,0.08082512631,0.1725751819,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
HSPA1A,-2.778510526,0.1204428427,0.2819946913,FALSE,Bos taurus:Bos indicus,milk production,FALSE,non-immune
LOC132343256,-25.15677865,1.22E-14,8.22E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LOC104974460,-3.20145459,0.05384810546,0.1408925394,FALSE,Bos taurus,milk production,FALSE,non-immune
BT.53393,2.027889213,0.004418614249,0.04084089995,FALSE,Bos indicus,MAP Infection,FALSE,non-immune
LOC101907107,-3.311703648,0.07123719291,0.1512929033,FALSE,Bos taurus,milk production,FALSE,non-immune
TKTL2,-3.290316649,0.1160459265,0.2281045308,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC101905484,-22.81492529,2.83E-06,1.79E-05,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,non-immune
LYZ3,-1.90413306,0.08034271161,0.1999165567,FALSE,Bos taurus,milk production,FALSE,non-immune
OR6D19,-23.56789438,0.0004881541377,0.001961507568,FALSE,Bos taurus:Bos indicus,parasite T. annulata Infection,FALSE,non-immune
CHCT1,-2.763568542,0.04720774192,0.1308223142,FALSE,Bos taurus,milk production,FALSE,non-immune
LOC132346535,-3.001525882,0.02692143232,0.06938518527,FALSE,Bos taurus,milk production,FALSE,non-immune
KRT35,-0.4302845715,0.03686566231,0.08358050928,FALSE,Bos indicus,MAP Infection,FALSE,non-immune
